PM25,O3,WS,TEMP,RH,WD
16.5,16.0,1,27.0,79.0,115.0
33.6,11.479813664596273,1,27.0,82.0,97.0
34.2,11.479813664596273,1,26.0,84.0,96.0
20.1,11.479813664596273,1,26.0,82.0,108.0
16.5,1.0,1,27.0,79.0,106.0
15.4,1.0,1,26.0,82.0,108.0
15.7,7.0,1,26.0,82.0,109.0
18.1,1.0,1,27.0,79.0,114.0
19.5,11.479813664596273,1,28.0,72.0,110.0
17.5,1.0,1,29.0,68.0,120.0
16.4,13.208916033332045,1,30.0,65.0,151.0
15.8,9.0,1,31.0,60.0,177.0
16.7,14.0,1,32.0,57.0,174.0
14.8,25.0,1,32.0,53.0,157.0
13.4,11.479813664596273,1,32.0,50.0,144.0
10.4,21.0,1,32.0,52.0,151.0
11.4,21.0,1,31.0,56.0,146.0
12.7,11.479813664596273,2,30.0,62.0,128.0
13.9,19.0,1,29.0,71.0,148.0
14.5,10.0,1,28.0,75.0,149.0
13.1,11.479813664596273,1,28.0,76.0,121.0
15.2,11.479813664596273,1,28.0,76.0,116.0
16.9,2.0,1,28.0,78.0,116.0
15.2,2.0,1,28.0,79.0,117.0
12.4,11.479813664596273,2,27.0,79.0,120.0
11.8,7.0,1,27.0,80.0,114.0
12.5,11.479813664596273,0,26.0,85.0,106.0
13.5,1.0,0,26.0,89.0,105.0
14.9,1.0,1,25.0,91.0,107.0
12.6,1.0,0,25.0,93.0,103.0
15.2,11.479813664596273,0,25.0,92.0,105.0
19.3,2.0,1,26.0,88.0,106.0
18.7,11.479813664596273,1,29.0,72.0,118.0
17.2,9.0,2,30.0,66.0,129.0
11.7,22.0,1,31.0,59.0,132.0
12.5,13.208916033332045,1,31.0,55.0,193.0
11.3,10.0,1,32.0,55.0,146.0
11.1,1.0,1,32.0,53.0,203.0
12.0,7.0,1,32.0,54.0,173.0
9.9,11.479813664596273,1,31.0,56.0,178.0
9.3,2.0,1,31.0,57.0,171.0
9.9,1.0,1,29.0,65.0,180.0
10.8,15.0,1,28.0,71.0,138.0
16.5,9.0,1,28.0,73.0,134.0
13.1,11.479813664596273,1,28.0,74.0,126.0
15.3,11.479813664596273,1,28.0,76.0,111.0
14.3,2.0,1,27.0,77.0,111.0
12.6,3.0,1,27.0,77.0,113.0
9.9,12.0,1,27.0,80.0,109.0
10.8,11.479813664596273,0,26.0,83.0,105.0
14.8,11.479813664596273,0,26.0,84.0,106.0
13.1,11.479813664596273,0,26.0,86.0,106.0
21.1,1.0,0,25.0,90.0,108.0
13.6,1.0,1,25.0,92.0,106.0
14.5,1.0,1,25.0,91.0,106.0
17.0,1.0,1,26.0,87.0,106.0
21.3,11.479813664596273,1,29.0,74.0,116.0
17.4,3.0,1,30.0,67.0,123.0
18.2,26.0,1,31.0,59.0,148.0
19.2,14.0,1,31.0,58.0,168.0
11.4,13.208916033332045,1,32.0,55.0,193.0
15.1,5.0,1,32.0,52.0,204.0
14.8,19.0,1,32.0,53.0,168.0
15.2,15.0,1,32.0,56.0,156.0
16.6,11.479813664596273,1,31.0,59.0,153.0
16.7,3.0,1,30.0,65.0,160.0
15.6,2.0,1,29.0,71.0,190.0
20.4,7.0,1,28.0,73.0,150.0
15.4,11.479813664596273,1,28.0,74.0,170.0
14.0,11.479813664596273,1,28.0,74.0,128.0
13.6,2.0,1,28.0,75.0,128.0
11.8,2.0,1,28.0,76.0,118.0
11.1,3.0,1,27.0,78.0,107.0
11.8,8.0,1,27.0,79.0,108.0
12.8,11.479813664596273,1,26.0,83.0,103.0
15.3,11.479813664596273,0,26.0,84.0,104.0
12.9,1.0,1,26.0,86.0,105.0
17.0,1.0,1,26.0,87.0,104.0
15.1,11.479813664596273,1,26.0,85.0,106.0
15.7,5.0,1,27.0,79.0,117.0
16.4,11.479813664596273,1,29.0,73.0,118.0
21.5,2.0,1,30.0,65.0,137.0
20.5,14.0,1,32.0,58.0,106.0
16.4,34.0,1,32.0,53.0,155.0
14.5,13.0,1,33.0,51.0,116.0
15.4,13.208916033332045,1,33.0,48.0,135.0
13.4,34.0,1,33.0,50.0,175.0
17.1,33.0,1,32.0,56.0,154.0
14.6,32.0,1,32.0,58.0,142.0
19.7,11.0,1,30.0,64.0,129.0
19.7,16.0,1,29.0,68.0,124.0
20.9,6.0,1,28.0,74.0,138.0
21.1,11.479813664596273,1,28.0,73.0,153.0
23.1,11.479813664596273,1,28.0,74.0,125.0
27.6,10.0,1,28.0,74.0,123.0
19.9,4.0,1,27.0,74.0,111.0
17.5,19.0,1,27.0,73.0,123.0
18.4,2.0,1,27.0,74.0,97.0
17.0,11.479813664596273,1,26.0,77.0,94.0
17.4,3.0,1,26.0,76.0,98.0
18.9,11.479813664596273,1,26.0,75.0,99.0
14.6,1.0,1,26.0,77.0,109.0
13.8,1.0,1,26.0,75.0,110.0
19.9,1.0,1,27.0,74.0,107.0
20.1,11.479813664596273,1,28.0,69.0,90.0
19.0,11.479813664596273,1,30.0,66.0,114.0
18.5,2.0,1,30.0,63.0,148.0
21.3,7.0,1,31.0,56.0,214.0
17.6,1.0,1,31.0,56.0,232.0
15.3,7.0,1,32.0,49.0,190.0
12.4,13.208916033332045,1,31.0,53.0,175.0
13.1,32.0,1,31.0,55.0,201.0
11.6,30.0,1,30.0,58.0,177.0
18.0,30.0,1,29.0,65.0,152.0
19.2,8.0,1,28.0,70.0,173.0
19.4,2.0,1,28.0,70.0,151.0
22.4,1.0,1,28.0,70.0,123.0
20.4,1.0,1,28.0,71.0,104.0
21.6,9.0,1,27.0,72.0,99.0
17.1,20.0,1,27.0,74.0,114.0
18.6,2.0,1,27.0,77.0,111.0
19.9,1.0,1,27.0,78.0,115.0
20.1,11.479813664596273,1,27.0,78.0,114.0
22.7,1.0,1,27.0,78.0,113.0
20.6,11.479813664596273,1,26.0,79.0,108.0
20.6,4.0,1,26.0,83.0,105.0
20.0,3.0,1,26.0,82.0,110.0
23.2,11.479813664596273,1,26.0,83.0,111.0
24.0,1.0,1,29.0,70.0,123.0
23.8,14.0,1,29.0,68.0,141.0
28.7,12.0,1,30.0,59.0,171.0
30.5,1.0,1,31.0,57.0,178.0
20.2,1.0,1,31.0,59.0,194.0
21.1,13.0,1,31.0,58.0,180.0
18.8,1.0,1,31.0,58.0,170.0
22.4,13.208916033332045,1,31.0,57.0,202.0
20.7,7.0,1,31.0,61.0,168.0
17.8,4.0,1,29.0,65.0,145.0
16.7,4.0,1,29.0,70.0,147.0
17.8,6.0,1,28.0,73.0,148.0
20.7,2.0,1,28.0,75.0,121.0
15.9,20.0,1,28.0,75.0,114.0
13.8,26.0,1,28.0,76.0,111.0
17.2,27.0,1,28.0,81.0,113.0
19.2,31.0,1,27.0,83.0,113.0
20.9,28.0,1,26.0,89.0,127.0
19.3,17.0,1,25.0,93.0,100.0
13.7,6.0,1,25.0,95.0,91.0
11.8,8.0,1,25.0,96.0,92.0
14.1,11.479813664596273,1,25.0,97.0,106.0
13.1,3.0,1,25.0,96.0,122.0
16.6,9.0,1,26.0,94.0,120.0
17.2,17.0,0,26.0,93.0,123.0
18.2,23.0,1,27.0,87.0,234.0
16.4,13.208916033332045,1,28.0,78.0,231.0
19.1,2.0,1,30.0,69.0,227.0
16.8,2.0,1,30.0,65.0,218.0
17.7,2.0,2,28.0,79.0,228.0
21.3,9.0,1,28.0,78.0,212.0
19.6,3.0,1,30.0,67.0,237.0
16.7,13.208916033332045,1,29.0,69.0,230.0
16.3,11.479813664596273,1,28.0,72.0,190.0
15.9,1.0,1,28.0,74.0,162.0
20.7,19.0,1,28.0,74.0,163.0
14.0,8.0,1,28.0,75.0,176.0
13.5,14.0,1,28.0,77.0,131.0
15.7,11.479813664596273,1,27.0,79.0,116.0
11.9,11.479813664596273,1,27.0,82.0,117.0
13.9,1.0,1,27.0,83.0,113.0
15.7,15.0,1,27.0,83.0,103.0
10.3,22.0,1,27.0,84.0,103.0
16.5,11.479813664596273,1,27.0,84.0,98.0
11.2,1.0,1,27.0,84.0,106.0
19.4,11.479813664596273,1,26.0,86.0,108.0
14.6,1.0,1,27.0,85.0,115.0
14.2,13.0,1,27.0,83.0,113.0
13.1,9.0,1,27.0,85.0,110.0
16.8,1.0,1,28.0,78.0,115.0
14.1,11.479813664596273,1,29.0,75.0,155.0
17.813627386438448,11.479813664596273,1,30.0,68.0,166.0
16.5,4.0,1,30.0,65.0,211.0
13.8,5.0,1,31.0,65.0,201.0
16.2,2.0,1,31.0,62.0,214.0
16.9,11.479813664596273,1,31.0,63.0,182.0
14.6,11.479813664596273,1,30.0,67.0,190.0
15.5,13.208916033332045,1,29.0,72.0,178.0
16.7,6.0,1,28.0,79.0,188.0
14.5,5.0,1,28.0,78.0,173.0
15.2,1.0,1,28.0,78.0,170.0
13.3,1.0,1,28.0,78.0,181.0
15.9,11.479813664596273,1,27.0,79.0,133.0
11.2,11.479813664596273,1,27.0,80.0,120.0
13.2,2.0,1,27.0,81.0,115.0
13.5,14.0,1,27.0,81.0,106.0
14.9,11.0,1,27.0,82.0,109.0
13.8,1.0,1,27.0,80.0,112.0
13.3,1.0,1,26.0,82.0,110.0
14.9,3.0,1,27.0,82.0,112.0
11.7,11.479813664596273,1,26.0,87.0,109.0
18.0,4.0,1,26.0,90.0,111.0
20.4,6.0,1,28.0,79.0,154.0
12.6,21.0,1,29.0,74.0,195.0
9.9,22.0,1,30.0,68.0,134.0
13.9,22.0,1,31.0,63.0,164.0
19.5,11.479813664596273,1,31.0,64.0,149.0
17.5,1.0,1,31.0,64.0,198.0
11.7,8.0,1,30.0,65.0,182.0
12.5,1.0,1,31.0,64.0,166.0
12.8,11.479813664596273,2,30.0,69.0,133.0
14.7,4.0,2,29.0,71.0,133.0
15.7,13.208916033332045,1,29.0,75.0,124.0
18.6,8.0,1,28.0,77.0,120.0
17.8,6.0,1,28.0,80.0,110.0
13.2,14.0,1,28.0,82.0,109.0
15.5,22.0,1,28.0,79.0,129.0
11.0,16.0,2,28.0,78.0,128.0
20.3,3.0,1,28.0,79.0,122.0
13.7,12.0,1,27.0,79.0,123.0
15.7,1.0,1,27.0,80.0,116.0
12.4,11.479813664596273,1,27.0,84.0,109.0
13.9,11.479813664596273,1,26.0,87.0,107.0
13.7,11.479813664596273,1,26.0,89.0,107.0
16.8,5.0,1,26.0,90.0,106.0
21.0,2.0,1,27.0,84.0,114.0
19.0,11.479813664596273,1,28.0,78.0,123.0
13.9,11.479813664596273,1,29.0,71.0,131.0
16.6,11.479813664596273,1,31.0,63.0,162.0
10.5,2.0,1,31.0,60.0,143.0
12.5,11.0,1,32.0,57.0,168.0
10.8,4.0,1,32.0,54.0,171.0
13.2,10.0,1,32.0,55.0,163.0
10.9,8.0,1,32.0,57.0,170.0
8.9,6.0,1,31.0,61.0,163.0
9.1,9.0,1,29.0,68.0,188.0
15.8,6.0,1,28.0,73.0,190.0
16.7,13.208916033332045,1,28.0,75.0,190.0
16.0,6.0,1,28.0,76.0,163.0
12.4,11.479813664596273,1,28.0,76.0,129.0
17.5,11.479813664596273,1,28.0,77.0,134.0
15.6,2.0,1,28.0,78.0,119.0
16.0,2.0,1,27.0,79.0,118.0
12.2,11.479813664596273,1,27.0,80.0,110.0
13.7,5.0,1,27.0,81.0,105.0
11.1,11.479813664596273,1,27.0,83.0,102.0
13.2,11.479813664596273,1,26.0,86.0,99.0
15.9,3.0,1,26.0,87.0,102.0
18.1,5.0,0,26.0,86.0,104.0
16.7,2.0,1,27.0,85.0,107.0
25.5,2.0,1,29.0,73.0,114.0
16.8,11.479813664596273,1,30.0,62.0,146.0
13.8,11.479813664596273,1,31.0,58.0,141.0
11.9,7.0,1,32.0,56.0,150.0
17.0,2.0,1,32.0,54.0,143.0
17.0,2.0,1,32.0,53.0,138.0
13.2,14.0,1,32.0,54.0,166.0
11.1,2.0,1,31.0,59.0,204.0
9.7,1.0,1,30.0,63.0,199.0
14.8,20.0,1,29.0,69.0,139.0
20.0,9.0,1,28.0,72.0,145.0
18.3,7.0,1,28.0,74.0,171.0
16.7,13.208916033332045,1,28.0,74.0,137.0
13.6,11.479813664596273,1,28.0,74.0,134.0
14.9,11.479813664596273,1,28.0,75.0,131.0
13.1,12.0,1,27.0,78.0,101.0
13.5,2.0,0,27.0,79.0,106.0
20.2,11.0,1,27.0,79.0,97.0
14.7,9.0,0,26.0,83.0,106.0
13.0,6.0,0,26.0,86.0,110.0
13.7,3.0,0,25.0,87.0,106.0
16.9,11.479813664596273,0,25.0,89.0,106.0
27.1,11.479813664596273,0,25.0,90.0,109.0
30.5,1.0,0,25.0,88.0,109.0
22.6,1.0,1,28.0,75.0,122.0
18.3,2.0,1,29.0,65.0,160.0
12.5,3.0,0,31.0,57.0,138.0
13.9,5.0,1,31.0,57.0,141.0
14.5,13.0,1,32.0,54.0,174.0
15.7,8.0,0,32.0,51.0,137.0
18.4,27.0,1,32.0,51.0,143.0
16.5,29.0,1,31.0,55.0,165.0
18.9,28.0,1,30.0,61.0,141.0
15.8,28.0,1,29.0,66.0,141.0
22.6,13.0,1,28.0,70.0,142.0
26.8,3.0,1,28.0,73.0,145.0
23.4,3.0,1,28.0,74.0,119.0
23.8,13.208916033332045,1,27.0,74.0,115.0
22.1,11.479813664596273,1,27.0,75.0,103.0
24.5,24.0,1,27.0,76.0,96.0
21.0,3.0,0,27.0,77.0,101.0
19.9,11.0,1,26.0,78.0,98.0
20.1,6.0,1,26.0,80.0,96.0
17.0,1.0,1,26.0,80.0,99.0
19.3,3.0,1,26.0,79.0,96.0
15.8,18.0,1,26.0,80.0,96.0
16.9,7.0,1,26.0,78.0,98.0
16.9,13.0,1,26.0,77.0,95.0
21.5,14.0,1,28.0,68.0,116.0
15.5,33.0,1,29.0,63.0,115.0
19.2,39.0,1,30.0,56.0,112.0
25.4,40.0,1,31.0,50.0,144.0
23.4,11.479813664596273,0,32.0,47.0,170.0
21.9,31.0,0,32.0,48.0,168.0
15.9,6.0,1,32.0,50.0,156.0
17.7,1.0,1,31.0,55.0,146.0
22.6,1.0,1,31.0,54.0,142.0
22.1,1.0,1,30.0,60.0,144.0
21.2,9.0,1,28.0,67.0,121.0
24.7,3.0,1,28.0,71.0,115.0
24.3,1.0,1,27.0,74.0,113.0
24.8,1.0,1,27.0,75.0,109.0
27.4,13.208916033332045,1,27.0,75.0,111.0
23.7,4.0,1,26.0,78.0,108.0
28.3,9.0,1,26.0,79.0,109.0
23.5,13.208916033332045,1,26.0,82.0,107.0
22.1,140.0,0,25.0,85.0,107.0
22.7,94.0,0,25.0,85.0,110.0
28.4,1.0,0,25.0,86.0,106.0
31.4,1.0,0,25.0,85.0,106.0
21.4,11.479813664596273,0,25.0,86.0,105.0
29.5,10.0,1,26.0,78.0,112.0
19.5,1.0,1,28.0,70.0,129.0
22.3,1.0,1,29.0,65.0,114.0
21.2,6.0,1,30.0,60.0,129.0
25.6,11.479813664596273,1,31.0,52.0,140.0
27.9,19.0,1,32.0,48.0,158.0
24.6,18.0,1,31.0,52.0,167.0
20.1,43.0,1,31.0,52.0,191.0
17.813627386438448,37.0,1,31.0,51.0,158.0
17.813627386438448,30.0,1,30.0,56.0,183.0
19.2,1.0,1,29.0,60.0,153.0
20.1,2.0,1,28.0,63.0,135.0
22.7,11.479813664596273,1,27.0,68.0,114.0
31.5,1.0,1,27.0,69.0,118.0
22.8,1.0,1,27.0,70.0,117.0
19.7,2.0,1,27.0,71.0,116.0
13.9,13.208916033332045,1,27.0,71.0,117.0
13.7,11.0,2,27.0,74.0,119.0
15.9,25.0,1,27.0,75.0,113.0
14.1,22.0,1,26.0,78.0,106.0
12.7,25.0,1,26.0,79.0,116.0
13.7,25.0,1,27.0,75.0,117.0
24.9,2.0,1,27.0,76.0,117.0
21.3,5.0,1,27.0,78.0,109.0
18.8,3.0,1,27.0,75.0,118.0
18.2,3.0,1,28.0,70.0,114.0
13.6,13.0,1,30.0,62.0,142.0
15.7,9.0,1,30.0,59.0,207.0
19.3,4.0,1,31.0,55.0,219.0
18.5,2.0,0,32.0,54.0,197.0
14.9,2.0,1,32.0,49.0,166.0
12.1,6.0,1,32.0,51.0,172.0
16.8,22.0,1,32.0,50.0,154.0
16.2,5.0,1,31.0,54.0,189.0
15.5,1.0,1,30.0,60.0,143.0
16.2,1.0,1,28.0,68.0,138.0
11.7,10.0,1,28.0,72.0,130.0
17.7,1.0,1,28.0,73.0,133.0
15.1,10.0,1,28.0,73.0,134.0
20.2,36.0,1,28.0,73.0,142.0
18.3,16.0,1,28.0,73.0,123.0
20.1,13.208916033332045,1,27.0,77.0,109.0
19.8,25.0,1,26.0,82.0,106.0
17.2,29.0,1,26.0,85.0,107.0
16.1,26.0,1,26.0,88.0,105.0
19.9,18.0,1,26.0,89.0,104.0
22.5,5.0,1,26.0,90.0,104.0
24.7,22.0,1,26.0,87.0,103.0
19.8,1.0,1,26.0,89.0,107.0
24.9,11.479813664596273,1,28.0,74.0,140.0
14.0,1.0,1,30.0,68.0,169.0
27.3,3.0,1,30.0,62.0,208.0
19.9,1.0,1,31.0,60.0,216.0
15.4,7.0,1,32.0,58.0,218.0
12.4,26.0,1,32.0,55.0,178.0
10.2,27.0,1,31.0,57.0,148.0
9.1,29.0,1,31.0,61.0,199.0
11.2,30.0,1,30.0,63.0,172.0
17.3,11.479813664596273,1,29.0,67.0,152.0
17.9,3.0,1,29.0,71.0,132.0
19.4,4.0,1,28.0,73.0,137.0
23.9,1.0,1,28.0,74.0,121.0
26.9,20.0,1,28.0,75.0,123.0
23.9,13.0,1,28.0,79.0,130.0
23.3,24.0,1,27.0,79.0,127.0
25.9,20.0,1,28.0,76.0,162.0
23.6,13.208916033332045,1,27.0,73.0,146.0
13.7,30.0,1,27.0,73.0,134.0
10.7,28.0,1,27.0,73.0,145.0
12.8,27.0,1,27.0,72.0,129.0
19.0,7.0,1,27.0,74.0,108.0
15.6,15.0,1,27.0,79.0,132.0
12.6,11.479813664596273,1,27.0,75.0,164.0
13.9,11.479813664596273,1,28.0,70.0,176.0
16.4,1.0,1,29.0,69.0,167.0
16.0,3.0,1,30.0,61.0,177.0
17.9,15.0,1,31.0,58.0,190.0
17.7,1.0,1,31.0,57.0,187.0
11.0,28.0,1,32.0,54.0,182.0
13.7,23.0,1,32.0,53.0,192.0
15.5,6.0,0,31.0,56.0,223.0
19.3,14.0,1,30.0,58.0,181.0
18.5,11.0,1,29.0,62.0,158.0
18.7,3.0,1,28.0,69.0,158.0
20.3,2.0,1,28.0,72.0,159.0
14.2,1.0,1,28.0,73.0,143.0
14.7,3.0,1,28.0,70.0,182.0
16.6,9.0,1,28.0,70.0,183.0
15.4,15.0,1,27.0,71.0,145.0
13.9,11.0,1,27.0,72.0,126.0
11.6,29.0,1,27.0,73.0,117.0
9.9,13.208916033332045,1,27.0,75.0,119.0
10.7,28.0,1,27.0,75.0,129.0
14.4,8.0,1,27.0,75.0,137.0
22.5,18.0,1,27.0,76.0,141.0
16.2,9.0,1,27.0,77.0,156.0
12.9,11.479813664596273,1,27.0,74.0,197.0
17.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
16.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
14.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
16.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
9.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
11.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
21.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
14.3,7.0,1,31.0,56.0,182.0
13.6,32.0,1,32.0,55.0,176.0
10.2,16.0,1,32.0,52.0,161.0
17.7,4.0,1,32.0,54.0,172.0
16.5,6.0,1,30.0,60.0,209.0
15.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
19.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
11.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
11.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
12.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
26.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
29.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
28.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
31.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
34.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
22.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
21.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
16.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
22.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
22.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
23.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
